
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
197,Trung Canidate,WAS,26,RB,11,10,,,,,,0,1,1,0,0,,1,0,
198,Cooper Carlisle,DEN,26,,16,2,,,,,,0,0,1,0,0,,,,
199,Dwaine Carpenter,SFO,27,,15,2,0,0,0,0,3,3,0,1,0,0,,23,4,
200,Keion Carpenter,ATL,26,FS,15,8,3,22,0,14,8,1,0,0,0,0,,28,2,
201,David Carr,HOU,24,QB,12,11,,,,,,0,4,1,-1,0,,,,
202,Travis Carroll,2TM,25,,5,0,,,,,,,,,,,,1,1,
203,Leonardo Carson,2TM,26,,13,0,0,0,0,0,1,0,0,1,0,0,1.5,15,5,
204,Dwayne Carswell,DEN,31,TE,16,10,,,,,,0,0,1,0,0,,,,
205,Andre Carter,SFO,24,RDE,15,15,0,0,0,0,3,1,0,0,0,0,6.5,27,7,
206,Dale Carter,NOR,34,LCB,8,8,0,0,0,0,1,,,,,,1.0,22,2,
207,Kerry Carter,SEA,23,,16,0,,,,,,,,,,,,6,0,
208,Kevin Carter,TEN,30,LDE,16,16,0,0,0,0,2,1,0,0,0,0,5.5,29,19,
209,Ki-Jana Carter,NOR,30,,8,0,,,,,,,,,,,,2,0,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
210,Quincy Carter,DAL,26,QB,16,16,,,,,,0,10,4,-16,0,,1,0,
211,Tim Carter,NYG,24,,12,2,,,,,,,,,,,,1,0,
212,Tyrone Carter,NYJ,27,FS,16,10,2,37,0,23,3,,,,,,,64,24,
213,Rock Cartwright,WAS,24,,15,3,,,,,,0,2,0,0,0,,2,0,
214,Quinton Caver,KAN,25,,12,0,,,,,,0,0,1,0,0,,7,2,
215,Larry Centers,NWE,35,,9,3,,,,,,0,0,1,0,0,,1,0,
216,Jacques Cesaire,SDG,23,,4,0,,,,,,,,,,,,1,2,
217,Frank Chamberlin,CIN,25,,5,0,,,,,,,,,,,,1,0,
218,Chris Chambers,MIA,25,WR,16,16,,,,,,0,1,0,0,0,,5,0,
219,Chris Chandler,CHI,38,qb,8,6,,,,,,0,4,2,-4,0,,,,
220,Ike Charlton,NYG,26,,7,2,0,0,0,0,1,,,,,,,9,3,
221,Martin Chase,WAS,29,,13,2,,,,,,,,,,,,12,2,
222,Matt Chatham,NWE,26,,16,4,,,,,,1,0,2,38,1,1.5,25,13,
223,Antonio Chatman,GNB,24,,16,0,,,,,,,,,,,,1,0,
224,Jesse Chatman,SDG,24,,16,0,,,,,,0,0,1,0,0,,16,0,
225,Corey Chavous*,MIN,27,SS,16,16,8,143,1,39,14,0,1,0,0,0,,75,11,
226,Je'Rod Cherry,NWE,30,,11,0,,,,,,,,,,,1.0,15,1,
227,Larry Chester,MIA,28,RDT,15,15,0,0,0,0,1,0,0,1,0,0,,20,18,
228,Steve Christie,SDG,36,,16,0,,,,,,,,,,,,1,0,
229,Vinny Ciurciu,2TM,23,,10,0,,,,,,,,,,,,5,1,
230,Chris Claiborne,MIN,25,RLB,12,12,1,3,0,3,7,1,0,2,0,0,3.0,61,19,
231,Kendrick Clancy,PIT,25,,12,0,,,,,,0,0,1,0,0,,3,0,
232,Dallas Clark,IND,24,TE,10,10,,,,,,,,,,,,1,0,
233,Danny Clark,JAX,26,RLB,16,8,,,,,,1,0,0,0,0,,29,11,
234,Desmond Clark,CHI,26,TE,15,15,,,,,,0,2,0,0,0,,4,0,
235,Ryan Clark,NYG,24,,16,4,0,0,0,0,2,,,,,,1.0,19,2,
236,DeVone Claybrooks,SFO,26,,3,0,,,,,,,,,,,,0,1,
237,Felipe Claybrooks,CLE,25,,7,0,,,,,,,,,,,,2,0,
238,Cam Cleeland,STL,28,TE,16,10,,,,,,0,1,1,0,0,,,,
239,Nate Clements,BUF,24,RCB,16,16,3,54,1,54,7,0,3,1,0,0,,51,11,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
240,Charlie Clemons,HOU,31,ROLB,9,8,0,0,0,0,3,0,0,2,0,0,1.0,18,8,
241,Duane Clemons,CIN,29,LDE,16,13,0,0,0,0,4,2,0,1,0,0,6.0,35,7,
242,Chad Clifton,GNB,27,LT,16,16,,,,,,0,0,1,0,0,,,,
243,Rich Coady,STL,27,ss,13,5,0,0,0,0,1,0,1,1,0,0,,38,3,
244,Dexter Coakley*,DAL,31,RLB,16,16,1,24,0,24,4,1,0,0,0,0,1.0,73,23,
245,Sherrod Coates,CLE,25,,16,0,,,,,,,,,,,,6,2,
246,Avon Cobourne,DET,24,,7,0,,,,,,,,,,,,4,1,
247,Antonio Cochran,SEA,27,lde,15,7,,,,,,0,0,1,0,0,1.0,23,6,
248,Tay Cody,SDG,26,,1,0,,,,,,,,,,,,2,1,
249,Chris Cole,DEN,26,,11,0,,,,,,0,1,1,0,0,,3,0,
